,n_readout,flip_angle,snr_myelin,snr_wm,cnr,TA (s),efficiency
0,1,10,26.54349903,1.462906545,25.08059248,810,0.881242192
1,1,30,42.02996417,1.390309163,40.63965501,810,1.427931924
2,1,40,43.6288153,1.342900807,42.2859145,810,1.485775586
3,1,50,44.31326071,1.311593215,43.0016675,810,1.510924583
4,1,70,45.01099748,1.2835261,43.72747138,810,1.536426732
5,1,90,45.12977443,1.278349795,43.85142464,810,1.540782006
6,5,10,25.63072074,1.553276624,24.07744412,162,1.891702668
7,5,30,38.20044351,1.695761339,36.50468217,162,2.868078701
8,5,40,38.7414487,1.731145497,37.0103032,162,2.907804041
9,5,50,38.14686464,1.782253578,36.36461106,162,2.857073675
10,5,70,33.41492266,1.838362613,31.57656005,162,2.48088886
11,5,90,24.56784533,1.717271716,22.85057362,162,1.795310618
12,9,10,24.76502081,1.677622577,23.08739823,90,2.433625456
13,9,30,34.75187766,2.031779133,32.72009852,90,3.44900122
14,9,40,33.18912043,2.019081225,31.17003921,90,3.285610622
15,9,50,29.42132698,1.925628545,27.49569844,90,2.898301097
16,9,70,21.29440939,1.671594545,19.62281484,90,2.0684263
17,9,90,15.87034286,1.47463578,14.39570708,90,1.517440764
18,11,10,24.68975496,1.773715756,22.91603921,74,2.663935447
19,11,30,31.31992138,2.094709027,29.22521235,74,3.397361928
20,11,40,27.75416327,2.054140782,25.70002249,74,2.98756693
21,11,50,23.98850025,2.067981046,21.9205192,74,2.548208597
22,11,70,16.5236942,2.034000987,14.48969321,74,1.684392622
23,11,90,10.74676666,1.900330796,8.846435868,74,1.028377281
24,15,10,23.69540943,1.953146411,21.74226302,54,2.958747236
25,15,30,30.30570398,2.411574007,27.89412997,54,3.795910292
26,15,40,28.53939844,2.393506548,26.14589189,54,3.558005223
27,15,50,25.45701816,2.265185064,23.1918331,54,3.156008738
28,15,70,19.32692057,1.967807129,17.35911344,54,2.362276128
29,15,90,14.20940017,1.715987705,12.49341247,54,1.700138094
30,20,10,22.70563056,2.186348443,20.51928211,41,3.204573479
31,20,30,27.90999936,2.709873771,25.20012559,41,3.935598414
32,20,40,25.28756283,2.600284906,22.68727793,41,3.543157541
33,20,50,21.96614198,2.394718274,19.57142371,41,3.056542866
34,20,70,15.94448049,1.968236068,13.97624443,41,2.182722669
35,20,90,11.54630436,1.660430647,9.885873708,41,1.543914087
36,25,10,21.98535225,2.408635081,19.57671717,33,3.407869037
37,25,30,25.21440012,2.870404236,22.34399589,33,3.889590429
38,25,40,22.33457454,2.68431557,19.65025897,33,3.420671021
39,25,50,19.21135226,2.426283175,16.78506908,33,2.921905481
40,25,70,13.92665263,1.96822827,11.95842436,33,2.081694481
41,25,90,10.06829959,1.653631397,8.41466819,33,1.464805714
42,30,10,21.15220228,2.671084445,18.48111784,27,3.556692786
43,30,30,22.6703404,2.988414748,19.68192565,27,3.787788358
44,30,40,19.81646154,2.749634555,17.06682699,27,3.284512385
45,30,50,16.78059084,2.440017288,14.34057355,27,2.759844667
46,30,70,12.19177872,1.966603726,10.22517499,27,1.967835844
47,30,90,8.713522852,1.627145074,7.086377778,27,1.363774039
48,40,10,20.02228054,3.069909932,16.95237061,21,3.699310549
49,40,30,19.84258789,3.190034403,16.65255349,21,3.633885089
50,40,40,16.75487849,2.799411205,13.95546729,21,3.045332629
51,40,50,14.00923305,2.43737943,11.57185362,21,2.525185483
52,40,70,10.01236415,1.92998441,8.08237974,21,1.763719855
53,40,90,7.296812453,1.624136617,5.672675836,21,1.237879353